Sample,Raw,Clean,Dup%,Bases_on_target,Bases_near_target,Effective_sequences_on_target(Mb),Effective_sequences_near_target(Mb),Effective_sequences_on_or_near_targe(Mb),Fraction_of_effective_bases_on_target,Fraction_of_effective_bases_near_target,Fraction_of_effective_bases_on_or_near_target,Average_sequencing_depth_on_target,Average_sequencing_depth_near_target,Bases_covered_on_target,Coverage_of_target_region,Bases_covered_near_target,Coverage_of_flanking_region,Fraction_of_target_covered_with_at_least_4x,Fraction_of_target_covered_with_at_least_10x,Fraction_of_target_covered_with_at_least_30x,Fraction_of_target_covered_with_at_least_100x,Fraction_of_flanking_region_covered_with_at_least_4x,Fraction_of_flanking_region_covered_with_at_least_10x,Fraction_of_flanking_region_covered_with_at_least_30x,Fraction_of_flanking_region_covered_with_at_least_100x
CRC105_N1,44.0076117,40.07212808,56.0869,"65,755,218","83,216,925",10352.92,2643.88,12996.8,58.88%,15.04%,73.92%,157.45,31.77,"65,538,225",99.67%,"77,075,515",92.62%,99.47%,99.18%,96.48%,55.97%,73.68%,54.01%,30.08%,6.02%
CRC105_T1,38.7173535,35.70545006,47.6313,"65,755,218","83,216,925",12824.38,3279.6,16103.98,68.73%,17.58%,86.31%,195.03,39.41,"65,505,348",99.62%,"77,175,376",92.74%,99.46%,99.25%,97.91%,72.65%,74.94%,58.03%,36.04%,9.34%
CRC106_N1,61.1216727,58.78281568,50.1061,"65,755,218","83,216,925",19053.56,5492.94,24546.5,65.65%,18.93%,84.58%,289.76,66.01,"65,669,736",99.87%,"81,644,125",98.11%,99.77%,99.61%,98.95%,88.41%,89.02%,73.11%,50.09%,19.20%
CRC106_T1,68.8182237,66.22493735,50.4209,"65,755,218","83,216,925",21220.89,6174.41,27395.3,65.62%,19.09%,84.71%,322.73,74.2,"65,669,736",99.87%,"81,993,636",98.53%,99.73%,99.51%,98.82%,91.05%,91.05%,75.97%,52.97%,22.41%
CRC107_N1,49.2186555,46.32101218,49.9655,"65,755,218","83,216,925",15736.56,4373.31,20109.87,67.87%,18.86%,86.73%,239.32,52.55,"65,676,311",99.88%,"80,786,990",97.08%,99.79%,99.64%,98.86%,83.52%,84.74%,67.50%,44.23%,14.09%
CRC107_T1,42.9859152,39.8513735,47.9013,"65,755,218","83,216,925",14195.5,3658.87,17854.37,68.70%,17.71%,86.41%,215.88,43.97,"65,669,736",99.87%,"78,415,308",94.23%,99.75%,99.55%,98.18%,75.33%,77.78%,60.55%,38.24%,11.17%
CRC108_N1,42.1588014,40.57414824,40.4702,"65,755,218","83,216,925",15286.67,4488.85,19775.52,64.49%,18.94%,83.43%,232.48,53.94,"65,689,462",99.90%,"81,660,768",98.13%,99.80%,99.63%,98.67%,81.82%,88.35%,71.04%,46.21%,14.57%
CRC108_T1,40.3968255,38.67556383,39.9017,"65,755,218","83,216,925",14807.26,4211.57,19018.83,64.81%,18.43%,83.24%,225.19,50.61,"65,689,462",99.90%,"81,086,571",97.44%,99.79%,99.62%,98.62%,80.72%,85.84%,68.07%,44.01%,13.35%
CRC109_N1,34.8413934,33.11178415,38.8795,"65,755,218","83,216,925",12922.83,3553.44,16476.27,65.05%,17.89%,82.94%,196.53,42.7,"65,656,585",99.85%,"80,179,507",96.35%,99.72%,99.49%,97.93%,72.38%,82.14%,63.52%,39.15%,10.27%
CRC109_T1,35.4939912,33.42023464,39.4727,"65,755,218","83,216,925",13031.53,3492.85,16524.38,65.43%,17.54%,82.97%,198.18,41.97,"65,663,160",99.86%,"79,821,674",95.92%,99.72%,99.50%,98.07%,74.14%,80.76%,62.00%,38.43%,10.19%
CRC10_N1,35.6181894,34.63127329,42.7073,"65,755,218","83,216,925",13451.29,3876.15,17327.44,69.53%,20.04%,89.57%,204.57,46.58,"65,498,772",99.61%,"80,445,801",96.67%,99.49%,99.30%,98.16%,75.92%,84.23%,67.19%,42.62%,11.59%
CRC10_T1,37.9785555,36.69709062,40.7661,"65,755,218","83,216,925",14711.42,4143.04,18854.46,69.72%,19.64%,89.36%,223.73,49.79,"65,498,772",99.61%,"80,262,724",96.45%,99.51%,99.34%,98.46%,80.59%,83.53%,66.79%,43.51%,13.21%
CRC110_N1,41.1824958,39.38025779,41.849,"65,755,218","83,216,925",14590.24,4137.6,18727.84,64.86%,18.39%,83.25%,221.89,49.72,"65,676,311",99.88%,"81,086,571",97.44%,99.76%,99.56%,98.46%,79.78%,85.85%,67.90%,43.63%,13.04%
CRC110_T1,49.8683403,43.64208132,50.8721,"65,755,218","83,216,925",14507.1,3425,17932.1,68.03%,16.06%,84.09%,220.62,41.16,"65,669,736",99.87%,"77,549,852",93.19%,99.74%,99.54%,98.32%,77.36%,74.56%,56.38%,35.25%,10.28%
CRC111_N1,57.0383865,54.75783658,53.1611,"65,755,218","83,216,925",16972.62,4782.24,21754.86,66.69%,18.79%,85.48%,258.12,57.47,"65,676,311",99.88%,"81,069,928",97.42%,99.79%,99.65%,98.91%,84.98%,86.36%,69.73%,46.58%,16.01%
CRC111_T1,56.5914684,53.16025737,52.339,"65,755,218","83,216,925",16985.92,4467.48,21453.4,67.49%,17.75%,85.24%,258.32,53.68,"65,682,887",99.89%,"79,705,170",95.78%,99.79%,99.65%,99.02%,86.16%,81.70%,64.70%,43.30%,14.89%
CRC112_N1,52.04346,49.30606876,52.1433,"65,755,218","83,216,925",15772.67,4255.72,20028.39,67.17%,18.12%,85.29%,239.87,51.14,"65,584,254",99.74%,"79,946,499",96.07%,99.58%,99.40%,98.59%,82.58%,82.57%,65.39%,42.94%,13.62%
CRC112_T1,57.8104794,54.84796741,52.3634,"65,755,218","83,216,925",17497.78,4723.3,22221.08,67.51%,18.22%,85.73%,266.1,56.76,"65,590,829",99.75%,"80,229,437",96.41%,99.60%,99.44%,98.87%,87.66%,83.70%,66.97%,45.30%,16.02%
CRC113_N1,38.8762806,37.2189377,37.1405,"65,755,218","83,216,925",14911.72,4419.56,19331.28,64.91%,19.24%,84.15%,226.78,53.11,"65,544,801",99.68%,"81,236,362",97.62%,99.53%,99.36%,98.48%,82.40%,87.28%,70.13%,45.88%,14.23%
CRC113_T1,39.5718372,38.14672101,38.6692,"65,755,218","83,216,925",14692.1,4509.52,19201.62,64.00%,19.64%,83.64%,223.44,54.19,"65,538,225",99.67%,"81,477,691",97.91%,99.52%,99.32%,98.09%,78.70%,88.53%,71.68%,46.39%,14.49%
CRC114_N1,40.8269676,38.49880817,39.9069,"65,755,218","83,216,925",14813.77,4097.88,18911.65,65.13%,18.02%,83.15%,225.29,49.24,"65,676,311",99.88%,"79,979,786",96.11%,99.77%,99.58%,98.42%,79.83%,82.20%,64.71%,42.13%,13.01%
CRC114_T1,37.4703786,35.59411783,38.3305,"65,755,218","83,216,925",14037.16,4034.02,18071.18,65.04%,18.69%,83.73%,213.48,48.48,"65,676,311",99.88%,"81,036,641",97.38%,99.77%,99.58%,98.35%,77.98%,85.18%,66.96%,42.72%,12.49%
CRC115_N1,34.9283961,33.29238959,34.7284,"65,755,218","83,216,925",14179.6,4112.85,18292.45,66.40%,19.26%,85.66%,215.64,49.42,"65,610,556",99.78%,"81,369,509",97.78%,99.61%,99.41%,98.43%,79.65%,86.68%,68.34%,43.54%,12.59%
CRC115_T1,35.8727754,34.30254047,37.9503,"65,755,218","83,216,925",13785.69,3902.94,17688.63,65.97%,18.68%,84.65%,209.65,46.9,"65,603,980",99.77%,"81,078,250",97.43%,99.59%,99.38%,98.16%,76.19%,85.68%,67.13%,41.90%,11.75%
